"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FAM111A",2.03655320520597e-08,0.897487548630791,0.338,0.115,0.000529422371225345
"C3",2.05949387035174e-08,0.987809007601645,0.789,0.77,0.000535386026536637
"CUX1",2.28879557726368e-08,0.592673592158177,0.854,0.724,0.000594995298265466
"CENPP",2.30942147273792e-08,0.947586493751286,0.523,0.287,0.000600357206052948
"NUSAP1",2.31162141209729e-08,1.17812311813828,0.217,0.034,0.000600929102288812
"TFDP1",2.41031720841308e-08,0.68301521025861,0.275,0.063,0.000626586061499065
"PEAK1",2.89588834823771e-08,-1.26730132745467,0.385,0.58,0.000752815135007876
"HSPA4",2.93886147488767e-08,-0.74007389908177,0.176,0.385,0.000763986429011798
"CHST11",3.22998210756913e-08,0.461469942452161,0.957,0.92,0.000839666148683671
"CDYL",3.35198489173702e-08,-0.668400652908565,0.398,0.621,0.000871381992455956
"PPP1CB",3.56806671103198e-08,-0.587873910984158,0.211,0.431,0.000927554622199874
"AC021594.2",3.68816022047132e-08,-0.442232790964207,0.03,0.149,0.000958774130913723
"CTTNBP2",3.75960144196676e-08,-0.812966944946214,0.374,0.563,0.000977345990853678
"WDR62",3.95800396572284e-08,0.686183277216789,0.168,0.006,0.00102892271092931
"GLS",4.02530695220821e-08,-0.71645282535241,0.495,0.678,0.00104641879529605
"SNX13",4.74409864389526e-08,-0.595310931660082,0.419,0.615,0.00123327588346701
"KIF15",4.88484382288706e-08,0.796807099844506,0.191,0.023,0.00126986400019772
"WDHD1",4.95635743167294e-08,0.797791862923054,0.222,0.04,0.0012884546779377
"SMIM35",5.42040534135965e-08,-0.704742907302284,0.022,0.126,0.00140908857253986
"ANKRD11",5.67898589621372e-08,0.548817029823352,0.912,0.833,0.00147630917357972
"RFX2",5.68166789022802e-08,0.8471666257646,0.234,0.052,0.00147700638474367
"SRSF10",6.08435255703224e-08,0.884002516794442,0.394,0.19,0.0015816882907261
