"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LRRTM3",1.44263470898977e-32,-0.826145186046447,0.662,0.909,3.7502731894898e-28
"KCNQ3",2.27066380051187e-32,0.729629967074386,0.961,0.944,5.90281761581065e-28
"DIP2C",2.66890542090563e-32,0.898785770513723,0.949,0.864,6.93808653218628e-28
"NOVA1",1.0602832583624e-31,-0.927621844629419,0.581,0.848,2.75631235843891e-27
"SHANK2",1.84994572940022e-31,1.04067305617891,0.916,0.87,4.80911891814882e-27
"NECAB1",4.90639634179987e-31,-1.08789133553758,0.383,0.708,1.2754667930143e-26
"ATRNL1",8.7646354548634e-31,-0.864225089868313,0.895,0.979,2.27845463284629e-26
"CHSY3",1.70875772639325e-30,-0.946849749180661,0.587,0.842,4.44208658553191e-26
"KIF1B",2.82279646181888e-30,0.614308633933536,0.952,0.881,7.33814168214436e-26
"RAB11FIP3",2.91533591192883e-30,1.13983517341322,0.844,0.708,7.57870723665019e-26
"NEAT1",4.06308478619755e-30,1.75958344009458,0.692,0.399,1.05623952101991e-25
"PTPRD",7.98790219566775e-30,-0.816590061041081,0.985,1,2.07653505478579e-25
"MLIP",1.03956333638992e-29,-0.902793154351115,0.416,0.751,2.70244884927924e-25
"PCLO",2.46529937515465e-29,-0.675722337258855,0.901,0.988,6.40879225565204e-25
"ATP8A1",3.40114374549082e-29,-0.816402869657277,0.527,0.817,8.84161328077793e-25
"LINC00486",5.35626690640875e-29,1.40992833686907,0.886,0.776,1.39241514499002e-24
"ZNF804B",1.1576838926269e-28,-1.09537887624772,0.569,0.811,3.00951504727289e-24
"CACNA1A",2.14602396944243e-28,0.757248200999454,0.985,0.971,5.57880391096255e-24
"TSPYL1",4.27691888144314e-28,-0.886729933306524,0.174,0.564,1.11182783241996e-23
"MMP16",6.82698515353319e-28,-0.927171776419841,0.581,0.827,1.77474306051249e-23
"LINGO1",7.56624381705336e-28,1.0563313987961,0.991,0.981,1.96692074268119e-23
"MAGI2",1.04486589956501e-27,-0.636024254428062,0.928,1,2.71623339250919e-23
"CCSER1",1.16407268970245e-27,-0.657860810582019,0.934,0.988,3.02612336415048e-23
"SOX5",1.17993911471033e-27,-0.790818735027576,0.781,0.918,3.06736972260097e-23
"KCNJ3",1.78775499612864e-27,-0.697969399852996,0.686,0.912,4.64744788793601e-23
"TBC1D5",1.82850324500083e-27,-0.694148872938903,0.692,0.918,4.75337703570416e-23
"AL078639.1",1.91972761821326e-27,-0.771212167304097,0.35,0.73,4.9905239163072e-23
"PDZRN4",2.1543684148714e-27,-1.22611899358158,0.509,0.784,5.60049613129968e-23
"NELL2",2.15777249644027e-27,-0.764342000478551,0.713,0.891,5.60934538174611e-23
"THRB",2.69609813219115e-27,-0.760210912197493,0.781,0.934,7.00877670444412e-23
"DMD",4.05283085422292e-27,-0.772560443817077,0.877,0.967,1.05357390886379e-22
"NKAIN2",6.92608023598852e-27,-0.814298684794902,0.844,0.93,1.80050381814757e-22
"PCDH9",7.01021059738481e-27,-0.576468268955733,0.976,0.998,1.82237434689615e-22
"FBXL17",7.52095487972821e-27,-0.645191028487497,0.787,0.959,1.95514743053415e-22
"EPHA7",7.93749167755201e-27,-0.782356783598426,0.356,0.714,2.06343033649642e-22
"ST6GALNAC5",1.08453667256874e-26,-0.986106867884273,0.446,0.757,2.81936153400971e-22
"SH3RF3",1.26957830458902e-26,1.37782067971948,0.865,0.768,3.30039576060962e-22
"MT-ATP6",1.326658169653e-26,-1.05739015465101,0.793,0.979,3.44878057782993e-22
"HS3ST2",1.79895584402949e-26,1.90887177380533,0.692,0.488,4.67656561213907e-22
"CACNA2D1",1.84734390623757e-26,-0.854862002787805,0.581,0.84,4.8023552186552e-22
